name,profile_url,affiliation,email,citations,interests,profile_picture_url,profile_picture_alt,label,tab_index,page_number,scraped_at
Yoshua Bengio,https://scholar.google.com/citations?hl=en&user=kukA0LcAAAAJ,"Professor of computer science, University of Montreal, Mila, IVADO, CIFAR",Verified email at umontreal.ca,Cited by 956022,Machine learning; deep learning; artificial intelligence,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=kukA0LcAAAAJ&citpid=3,Yoshua Bengio,machine_learning,2,1,2025-07-17T12:26:24.023637
Geoffrey Hinton,https://scholar.google.com/citations?hl=en&user=JicYPdAAAAAJ,"Emeritus Prof. Computer Science, University of Toronto",Verified email at cs.toronto.edu,Cited by 938886,machine learning; psychology; artificial intelligence; cognitive science; computer science,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=JicYPdAAAAAJ&citpid=2,Geoffrey Hinton,machine_learning,2,1,2025-07-17T12:26:24.119054
Kaiming He,https://scholar.google.com/citations?hl=en&user=DhtAFkwAAAAJ,"Associate Professor, EECS, MIT",Verified email at mit.edu,Cited by 721203,Computer Vision; Machine Learning,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=DhtAFkwAAAAJ&citpid=8,Kaiming He,machine_learning,2,1,2025-07-17T12:26:24.195916
Ilya Sutskever,https://scholar.google.com/citations?hl=en&user=x04W_mMAAAAJ,Co-Founder and Chief Scientist at Safe Superintelligence Inc,Verified email at ssi.inc,Cited by 664625,Machine Learning; Neural Networks; Artificial Intelligence; Deep Learning,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=x04W_mMAAAAJ&citpid=12,Ilya Sutskever,machine_learning,2,1,2025-07-17T12:26:24.279697
Ross Girshick,https://scholar.google.com/citations?hl=en&user=W8VIEZgAAAAJ,Co-Founder at Vercept,Verified email at vercept.com,Cited by 595287,computer vision; machine learning,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=W8VIEZgAAAAJ&citpid=8,Ross Girshick,machine_learning,2,1,2025-07-17T12:26:24.361957
Robert Tibshirani,https://scholar.google.com/citations?hl=en&user=ZpG_cJwAAAAJ,"Professor of Biomedical Data Sciences, and of Statistics, Stanford University",Verified email at stanford.edu,Cited by 571208,Statistics; data science; Machine Learning,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=ZpG_cJwAAAAJ&citpid=2,Robert Tibshirani,machine_learning,2,1,2025-07-17T12:26:24.445927
Andrew Zisserman,https://scholar.google.com/citations?hl=en&user=UZ5wscMAAAAJ,University of Oxford,Verified email at robots.ox.ac.uk,Cited by 475249,Computer Vision; Machine Learning,https://scholar.google.com/citations/images/avatar_scholar_56.png,Andrew Zisserman,machine_learning,2,1,2025-07-17T12:26:24.519712
Yann LeCun,https://scholar.google.com/citations?hl=en&user=WLN3QrAAAAAJ,"Chief AI Scientist at Facebook & JT Schwarz Professor at the Courant Institute, New York …",Verified email at cs.nyu.edu,Cited by 415441,AI; machine learning; computer vision; robotics; image compression,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=WLN3QrAAAAAJ&citpid=2,Yann LeCun,machine_learning,2,1,2025-07-17T12:26:24.611285
Trevor Hastie,https://scholar.google.com/citations?hl=en&user=tQVe-fAAAAAJ,"Professor of Statistics, Stanford University",Verified email at stanford.edu,Cited by 411319,Statistical learning and modeling; data mining; machine learning,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=tQVe-fAAAAAJ&citpid=3,Trevor Hastie,machine_learning,2,1,2025-07-17T12:26:24.695518
Jeff Dean,https://scholar.google.com/citations?hl=en&user=NMS69lQAAAAJ,"Google Chief Scientist, Google Research and Google DeepMind",Verified email at google.com,Cited by 356490,Distributed systems; Artificial Intelligence; machine learning; compilers; computer architecture,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=NMS69lQAAAAJ&citpid=4,Jeff Dean,machine_learning,2,1,2025-07-17T12:26:24.787597
Yoshua Bengio,https://scholar.google.com/citations?hl=en&user=kukA0LcAAAAJ,"Professor of computer science, University of Montreal, Mila, IVADO, CIFAR",Verified email at umontreal.ca,Cited by 956022,Machine learning; deep learning; artificial intelligence,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=kukA0LcAAAAJ&citpid=3,Yoshua Bengio,autonomous_driving,3,1,2025-07-17T12:26:25.898070
Ilya Sutskever,https://scholar.google.com/citations?hl=en&user=x04W_mMAAAAJ,Co-Founder and Chief Scientist at Safe Superintelligence Inc,Verified email at ssi.inc,Cited by 664625,Machine Learning; Neural Networks; Artificial Intelligence; Deep Learning,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=x04W_mMAAAAJ&citpid=12,Ilya Sutskever,autonomous_driving,3,1,2025-07-17T12:26:25.984471
Jian Sun,https://scholar.google.com/citations?hl=en&user=ALVSZAYAAAAJ,"Chief Scientist of Megvii, Managing Director of Megvii Research",Verified email at megvii.com,Cited by 656279,Computer Vision; Deep Learning; Computer Graphics,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=ALVSZAYAAAAJ&citpid=6,Jian Sun,autonomous_driving,3,1,2025-07-17T12:26:26.065816
Shaoqing Ren,https://scholar.google.com/citations?hl=en&user=AUhj438AAAAJ,NIO,Verified email at nio.com,Cited by 436370,Computer Vision; Deep Learning; Autonomous Driving; Artificial Intelligence,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=AUhj438AAAAJ&citpid=4,Shaoqing Ren,autonomous_driving,3,1,2025-07-17T12:26:26.152450
Ian Goodfellow,https://scholar.google.com/citations?hl=en&user=iYN86KEAAAAJ,DeepMind,Verified email at deepmind.com,Cited by 367520,Deep Learning,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=iYN86KEAAAAJ&citpid=4,Ian Goodfellow,autonomous_driving,3,1,2025-07-17T12:26:26.225437
Oriol Vinyals,https://scholar.google.com/citations?hl=en&user=NkzyCvUAAAAJ,Research Scientist at Google DeepMind,Verified email at google.com,Cited by 353956,Artificial Intelligence; Machine Learning; Deep Learning; Vision; Natural Language Processing,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=NkzyCvUAAAAJ&citpid=2,Oriol Vinyals,autonomous_driving,3,1,2025-07-17T12:26:26.319683
Quoc V. Le,https://scholar.google.com/citations?hl=en&user=vfT6-XIAAAAJ,"Research Scientist, Google",Verified email at stanford.edu,Cited by 348306,Machine Learning; Artificial Intelligence; Deep Learning,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=vfT6-XIAAAAJ&citpid=4,Quoc V. Le,autonomous_driving,3,1,2025-07-17T12:26:26.399890
Kyle Cranmer,https://scholar.google.com/citations?hl=en&user=EZjSxgwAAAAJ,University of Wisconsin-Madison,Verified email at wisc.edu,Cited by 322395,Particle Physics; deep learning; Data Science; Statistics; Open Science,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=EZjSxgwAAAAJ&citpid=4,Kyle Cranmer,autonomous_driving,3,1,2025-07-17T12:26:26.489129
Jean-Roch Vlimant,https://scholar.google.com/citations?hl=en&user=atsBh1QAAAAJ,California Insitute of Technology,Verified email at caltech.edu,Cited by 314399,particle physics; deep learning; quantum computing,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=atsBh1QAAAAJ&citpid=2,Jean-Roch Vlimant,autonomous_driving,3,1,2025-07-17T12:26:26.571618
Diederik P. Kingma,https://scholar.google.com/citations?hl=en&user=yyIoQu4AAAAJ,Anthropic,Verified email at anthropic.com,Cited by 313365,Machine Learning; Deep Learning; Neural Networks; Generative Models; Artificial Intelligence,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=yyIoQu4AAAAJ&citpid=4,Diederik P. Kingma,autonomous_driving,3,1,2025-07-17T12:26:26.660737
John Schulman,https://scholar.google.com/citations?hl=en&user=itSa94cAAAAJ,Thinking Machines,Verified email at thinkingmachines.ai,Cited by 129094,Artificial Intelligence; Robotics; Neuroscience,https://scholar.google.com/citations/images/avatar_scholar_56.png,John Schulman,robotics,1,2,2025-07-17T12:26:32.708449
Wolfram Burgard,https://scholar.google.com/citations?hl=en&user=zj6FavAAAAAJ,"Professor of Computer Science, Technical University of Nuremberg",Verified email at utn.de,Cited by 127596,Robotics; Artificial Intelligence; AI; Machine Learning; Computer Vision,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=zj6FavAAAAAJ&citpid=6,Wolfram Burgard,robotics,1,2,2025-07-17T12:26:32.798816
Shankar Sastry,https://scholar.google.com/citations?hl=en&user=KgZxzjsAAAAJ,University of California,Verified email at berkeley.edu,Cited by 123124,robotics; control; hybrid systems; cyber security; embedded systems,https://scholar.google.com/citations/images/avatar_scholar_56.png,Shankar Sastry,robotics,1,2,2025-07-17T12:26:32.890650
Dieter Fox,https://scholar.google.com/citations?hl=en&user=DqXsbPAAAAAJ,University of Washington and AI2,Verified email at cs.washington.edu,Cited by 107289,Robotics; Artificial Intelligence; Computer Vision,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=DqXsbPAAAAAJ&citpid=2,Dieter Fox,robotics,1,2,2025-07-17T12:26:32.974408
Vladlen Koltun,https://scholar.google.com/citations?hl=en&user=kg4bCpgAAAAJ,"Distinguished Scientist, Apple",Verified email at apple.com,Cited by 104470,computer vision; machine learning; robotics; computer graphics,https://scholar.google.com/citations/images/avatar_scholar_56.png,Vladlen Koltun,robotics,1,2,2025-07-17T12:26:33.061377
Yuman Fong,https://scholar.google.com/citations?hl=en&user=dBKT6y8AAAAJ,City of Hope Medical Center,Verified email at coh.org,Cited by 100754,Gene Therapy; Robotics; Liver Surgery; Pancreatic Surgery,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=dBKT6y8AAAAJ&citpid=2,Yuman Fong,robotics,1,2,2025-07-17T12:26:33.149026
Roland Siegwart,https://scholar.google.com/citations?hl=en&user=MDIyLnwAAAAJ,"Professor of Robotics, ETH Zurich, Switzerland",Verified email at ethz.ch,Cited by 100355,Robotics; SLAM; Artificial Intelligence; Robot Vision; Micro Air Vehicles,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=MDIyLnwAAAAJ&citpid=3,Roland Siegwart,robotics,1,2,2025-07-17T12:26:33.241112
Fabian Magaña-Sandoval,https://scholar.google.com/citations?hl=en&user=ieVDSBcAAAAJ,"Research Assistant, California State University, Fullerton",Verified email at csu.fullerton.edu,Cited by 98425,Physics; Computer Science; General Science; Optics; Robotics,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=ieVDSBcAAAAJ&citpid=3,Fabian Magaña-Sandoval,robotics,1,2,2025-07-17T12:26:33.330359
Pierre Sermanet,https://scholar.google.com/citations?hl=en&user=0nPi5YYAAAAJ,"Research Scientist, Google",Verified email at google.com,Cited by 94046,Deep Learning; Computer Vision; Robotics; Self-Supervised Learning,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=0nPi5YYAAAAJ&citpid=11,Pierre Sermanet,robotics,1,2,2025-07-17T12:26:33.423423
Daniela Rus,https://scholar.google.com/citations?hl=en&user=910z20QAAAAJ,"Andrew (1956) and Erna Viterbi Professor of Computer Science, MIT",Verified email at csail.mit.edu,Cited by 90302,Robotics; Wireless Networks; Distributed Computing,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=910z20QAAAAJ&citpid=3,Daniela Rus,robotics,1,2,2025-07-17T12:26:33.504499
Oriol Vinyals,https://scholar.google.com/citations?hl=en&user=NkzyCvUAAAAJ,Research Scientist at Google DeepMind,Verified email at google.com,Cited by 353956,Artificial Intelligence; Machine Learning; Deep Learning; Vision; Natural Language Processing,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=NkzyCvUAAAAJ&citpid=2,Oriol Vinyals,machine_learning,2,2,2025-07-17T12:26:34.615416
Quoc V. Le,https://scholar.google.com/citations?hl=en&user=vfT6-XIAAAAJ,"Research Scientist, Google",Verified email at stanford.edu,Cited by 348306,Machine Learning; Artificial Intelligence; Deep Learning,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=vfT6-XIAAAAJ&citpid=4,Quoc V. Le,machine_learning,2,2,2025-07-17T12:26:34.702753
Michael I. Jordan,https://scholar.google.com/citations?hl=en&user=yxUduqMAAAAJ,"Professor of Electrical Engineering and Computer Sciences and Professor of Statistics, UC …",Verified email at cs.berkeley.edu,Cited by 332172,machine learning; computer science; statistics; artificial intelligence; optimization,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=yxUduqMAAAAJ&citpid=10,Michael I. Jordan,machine_learning,2,2,2025-07-17T12:26:34.802522
vapnik,https://scholar.google.com/citations?hl=en&user=vtegaJgAAAAJ,"Professor of Columbia, Fellow of NEC Labs America,",Verified email at nec-labs.com,Cited by 331980,machine learning; statistics; computer science,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=vtegaJgAAAAJ&citpid=2,vapnik,machine_learning,2,2,2025-07-17T12:26:34.896868
Jose Enrique Garcia Navarro [ORCID: 0000-0002-0279-0523],https://scholar.google.com/citations?hl=en&user=too0eQkAAAAJ,"Researcher, Instituto de Física Corpuscular (IFIC)",Verified email at ific.uv.es,Cited by 329842,High Energy Physics; Computing; LHC; Machine Learning,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=too0eQkAAAAJ&citpid=4,Jose Enrique Garcia Navarro  [ORCID: 0000-0002-0279-0523],machine_learning,2,2,2025-07-17T12:26:34.995013
Stefano Giagu,https://scholar.google.com/citations?hl=en&user=GjtUFQsAAAAJ,Sapienza University of Rome,Verified email at uniroma1.it,Cited by 315440,Particle Physics; Machine Learning; Artificial Intelligence; Quantum Computing; Data Analysis,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=GjtUFQsAAAAJ&citpid=3,Stefano Giagu,machine_learning,2,2,2025-07-17T12:26:35.094696
Diederik P. Kingma,https://scholar.google.com/citations?hl=en&user=yyIoQu4AAAAJ,Anthropic,Verified email at anthropic.com,Cited by 313365,Machine Learning; Deep Learning; Neural Networks; Generative Models; Artificial Intelligence,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=yyIoQu4AAAAJ&citpid=4,Diederik P. Kingma,machine_learning,2,2,2025-07-17T12:26:35.195507
Tommaso Dorigo,https://scholar.google.com/citations?hl=en&user=p5i5SrgAAAAJ,"First Researcher, INFN - Sezione di Padova",Verified email at pd.infn.it,Cited by 310131,Particle physics; astrophysics; machine learning; statistical data analysis,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=p5i5SrgAAAAJ&citpid=1,Tommaso Dorigo,machine_learning,2,2,2025-07-17T12:26:35.286898
Li Fei-Fei,https://scholar.google.com/citations?hl=en&user=rDfyQnIAAAAJ,"Professor of Computer Science, Stanford University",Verified email at cs.stanford.edu,Cited by 308362,Artificial Intelligence; Machine Learning; Computer Vision; Neuroscience,https://scholar.google.com/citations/images/avatar_scholar_56.png,Li Fei-Fei,machine_learning,2,2,2025-07-17T12:26:35.379444
Julien Donini,https://scholar.google.com/citations?hl=en&user=eN5cHekAAAAJ,"Professor, Université Clermont Auvergne",Verified email at uca.fr,Cited by 307401,particle physics; LHC; ATLAS; machine learning,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=eN5cHekAAAAJ&citpid=2,Julien Donini,machine_learning,2,2,2025-07-17T12:26:35.471780
Trevor Darrell,https://scholar.google.com/citations?hl=en&user=bh-uRFMAAAAJ,"Professor of Computer Science, UC Berkeley",Verified email at eecs.berkeley.edu,Cited by 300224,Computer Vision; Artificial Intelligence; AI; Machine Learning; Deep Learning,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=bh-uRFMAAAAJ&citpid=3,Trevor Darrell,autonomous_driving,3,2,2025-07-17T12:26:36.586162
Christian Szegedy,https://scholar.google.com/citations?hl=en&user=bnQMuzgAAAAJ,Researcher,Verified email at szegedy.org,Cited by 299355,Deep learning; Formal reasoning,https://scholar.google.com/citations/images/avatar_scholar_56.png,Christian Szegedy,autonomous_driving,3,2,2025-07-17T12:26:36.664104
Christopher D Manning,https://scholar.google.com/citations?hl=en&user=1zmDOdwAAAAJ,"Professor of Computer Science and Linguistics, Stanford University",Verified email at stanford.edu,Cited by 289678,Natural Language Processing; Computational Linguistics; Deep Learning,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=1zmDOdwAAAAJ&citpid=4,Christopher D Manning,autonomous_driving,3,2,2025-07-17T12:26:36.750839
Andrew Ng,https://scholar.google.com/citations?hl=en&user=mG4imMEAAAAJ,Stanford University,Verified email at cs.stanford.edu,Cited by 289527,Machine Learning; Deep Learning; AI,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=mG4imMEAAAAJ&citpid=1,Andrew Ng,autonomous_driving,3,2,2025-07-17T12:26:36.946098
Piotr Dollár,https://scholar.google.com/citations?hl=en&user=a8Y2OJMAAAAJ,FAIR,Verified email at fb.com,Cited by 287411,computer vision; deep learning; machine learning; artificial intelligence,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=a8Y2OJMAAAAJ&citpid=7,Piotr Dollár,autonomous_driving,3,2,2025-07-17T12:26:37.028444
Jimmy Ba,https://scholar.google.com/citations?hl=en&user=ymzxRhAAAAAJ,University of Toronto,Verified email at cs.toronto.edu,Cited by 278710,Neural Networks; Artificial Intelligence; Machine Learning; Deep Learning,https://scholar.google.com/citations/images/avatar_scholar_56.png,Jimmy Ba,autonomous_driving,3,2,2025-07-17T12:26:37.115193
koray kavukcuoglu,https://scholar.google.com/citations?hl=en&user=sGFyDIUAAAAJ,DeepMind,Verified email at kavukcuoglu.org,Cited by 273900,deep learning; machine learning; computer vision,https://scholar.google.com/citations/images/avatar_scholar_56.png,koray kavukcuoglu,autonomous_driving,3,2,2025-07-17T12:26:37.198334
Karen Simonyan,https://scholar.google.com/citations?hl=en&user=L7lMQkQAAAAJ,"Chief Scientist, Microsoft AI",Verified email at microsoft.com,Cited by 269499,Artificial Intelligence; Deep Learning,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=L7lMQkQAAAAJ&citpid=1,Karen Simonyan,autonomous_driving,3,2,2025-07-17T12:26:37.275575
Noam Shazeer,https://scholar.google.com/citations?hl=en&user=wsGvgA8AAAAJ,Google,Verified email at google.com,Cited by 263206,Deep Learning,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=wsGvgA8AAAAJ&citpid=1,Noam Shazeer,autonomous_driving,3,2,2025-07-17T12:26:37.344654
Alec Radford,https://scholar.google.com/citations?hl=en&user=dOad5HoAAAAJ,OpenAI,Verified email at openai.com,Cited by 255005,Deep Learning; Machine Learning,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=dOad5HoAAAAJ&citpid=2,Alec Radford,autonomous_driving,3,2,2025-07-17T12:26:37.422931
Lucas Beyer,https://scholar.google.com/citations?hl=en&user=p2gwhK4AAAAJ,"OpenAI, Google DeepMind, Google Brain, RWTH Aachen",Verified email at google.com,Cited by 90123,Representation Learning; Good Shit; Computer Vision; Robotics,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=p2gwhK4AAAAJ&citpid=2,Lucas Beyer,robotics,1,3,2025-07-17T12:26:43.372121
James Hays,https://scholar.google.com/citations?hl=en&user=vjZrDKQAAAAJ,Georgia Tech,Verified email at gatech.edu,Cited by 88680,Computer Vision; Robotics; Machine Learning; AI,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=vjZrDKQAAAAJ&citpid=6,James Hays,robotics,1,3,2025-07-17T12:26:43.460040
Chelsea Finn,https://scholar.google.com/citations?hl=en&user=vfPE6hgAAAAJ,"Stanford University, Physical Intelligence",Verified email at cs.stanford.edu,Cited by 85455,machine learning; robotics; reinforcement learning,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=vfPE6hgAAAAJ&citpid=4,Chelsea Finn,robotics,1,3,2025-07-17T12:26:43.541125
Vijay Kumar,https://scholar.google.com/citations?hl=en&user=FUOEBDUAAAAJ,"Professor of Mechanical Engineering and Applied Mechanics, University of Pennsylvania",Verified email at seas.upenn.edu,Cited by 82353,Robotics,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=FUOEBDUAAAAJ&citpid=2,Vijay Kumar,robotics,1,3,2025-07-17T12:26:43.618136
Andreas Geiger,https://scholar.google.com/citations?hl=en&user=SrVnrPcAAAAJ,"Professor of Computer Science, University of Tübingen and Tübingen AI Center",Verified email at uni-tuebingen.de,Cited by 82271,computer vision; machine learning; robotics; scene understanding,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=SrVnrPcAAAAJ&citpid=7,Andreas Geiger,robotics,1,3,2025-07-17T12:26:43.704439
Abhinav Gupta,https://scholar.google.com/citations?hl=en&user=bqL73OkAAAAJ,"Professor, Robotics Institute, Carnegie Mellon University",Verified email at cs.cmu.edu,Cited by 82002,Computer Vision; Robotics,https://scholar.google.com/citations/images/avatar_scholar_56.png,Abhinav Gupta,robotics,1,3,2025-07-17T12:26:43.779728
Daniel Cremers,https://scholar.google.com/citations?hl=en&user=cXQciMEAAAAJ,Technical University of Munich,Verified email at tum.de,Cited by 80511,Computer Vision; Machine Learning; Optimization; Robotics,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=cXQciMEAAAAJ&citpid=4,Daniel Cremers,robotics,1,3,2025-07-17T12:26:43.864742
Jean-Jacques Slotine,https://scholar.google.com/citations?hl=en&user=TcREpMQAAAAJ,"MIT, Professor of Mechanical Engineering and Information Sciences, Professor of Brain …",Verified email at mit.edu,Cited by 80454,Dynamical Systems; Complex Systems; Control Theory; Computational Neuroscience; Robotics,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=TcREpMQAAAAJ&citpid=2,Jean-Jacques Slotine,robotics,1,3,2025-07-17T12:26:43.960733
Yi Ma (马毅),https://scholar.google.com/citations?hl=en&user=XqLiBQMAAAAJ,"Director of School of Computing & Data Science, HKU; Visiting Professor of EECS, Berkeley",Verified email at hku.hk,Cited by 79534,Computer Vision; Compressed Sensing; Machine Learning; Signal Processing; Robotics,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=XqLiBQMAAAAJ&citpid=4,Yi Ma (马毅),robotics,1,3,2025-07-17T12:26:44.051688
Zhengyou Zhang,https://scholar.google.com/citations?hl=en&user=1I-DKy8AAAAJ,Tencent AI Lab & Tencent Robotics X,Verified email at tencent.com,Cited by 79399,Computer Vision; Multimedia; Speech; Robotics; AI,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=1I-DKy8AAAAJ&citpid=2,Zhengyou Zhang,robotics,1,3,2025-07-17T12:26:44.148463
Jonathan Hays,https://scholar.google.com/citations?hl=en&user=1DS8DjgAAAAJ,Queen Mary University of London,Verified email at qmul.ac.uk,Cited by 307281,Particle Physics; Higgs bosons; Machine learning; Big data; Proteomics,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=1DS8DjgAAAAJ&citpid=2,Jonathan Hays,machine_learning,2,3,2025-07-17T12:26:45.258816
Alex Krizhevsky,https://scholar.google.com/citations?hl=en&user=xegzhJcAAAAJ,University of Toronto,Verified email at cs.toronto.edu,Cited by 306710,Machine Learning,https://scholar.google.com/citations/images/avatar_scholar_56.png,Alex Krizhevsky,machine_learning,2,3,2025-07-17T12:26:45.338675
Christian M. Ringle,https://scholar.google.com/citations?hl=en&user=y5F176wAAAAJ,"Professor of Management, Hamburg University of Technology, Technische Universität …",Verified email at tuhh.de,Cited by 305545,Decision Sciences; Business Analytics; Multivariate Analysis Methods; Machine Learning,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=y5F176wAAAAJ&citpid=3,Christian M. Ringle,machine_learning,2,3,2025-07-17T12:26:45.435237
Leo Breiman 1928-2005,https://scholar.google.com/citations?hl=en&user=mXSv_1UAAAAJ,"Professor of Statistics, UC Berkeley",Verified email at stat.berkeley.edu,Cited by 303481,Data Analysis; Statistics; Machine Learning,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=mXSv_1UAAAAJ&citpid=2,Leo Breiman 1928-2005,machine_learning,2,3,2025-07-17T12:26:45.525705
