name,profile_url,affiliation,email,citations,interests,profile_picture_url,profile_picture_alt,label,tab_index,page_number,scraped_at
Yann LeCun,https://scholar.google.com/citations?hl=en&user=WLN3QrAAAAAJ,"Chief AI Scientist at Facebook & JT Schwarz Professor at the Courant Institute, New York …",Verified email at cs.nyu.edu,Cited by 415441,AI; machine learning; computer vision; robotics; image compression,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=WLN3QrAAAAAJ&citpid=2,Yann LeCun,robotics,1,1,2025-07-17T12:26:21.928115
Jitendra MALIK,https://scholar.google.com/citations?hl=en&user=aOklxsQAAAAJ,"Professor of EECS, UC Berkeley",Verified email at eecs.berkeley.edu,Cited by 253330,computer vision; machine learning; robotics; artificial intelligence; computer graphics,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=aOklxsQAAAAJ&citpid=1,Jitendra MALIK,robotics,1,1,2025-07-17T12:26:22.026562
Pieter Abbeel,https://scholar.google.com/citations?hl=en&user=vtwH6GkAAAAJ,UC Berkeley | Covariant,Verified email at cs.berkeley.edu,Cited by 206919,Robotics; Machine Learning; AI,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=vtwH6GkAAAAJ&citpid=3,Pieter Abbeel,robotics,1,1,2025-07-17T12:26:22.116384
Vincent Vanhoucke,https://scholar.google.com/citations?hl=en&user=T7uctwYAAAAJ,"Distinguished Engineer, Waymo",Verified email at google.com,Cited by 203656,Robotics; Machine Learning; Computer Vision; Speech Recognition; Artificial Intelligence,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=T7uctwYAAAAJ&citpid=7,Vincent Vanhoucke,robotics,1,1,2025-07-17T12:26:22.239169
Thomas Brox,https://scholar.google.com/citations?hl=en&user=0VAe-TQAAAAJ,University of Freiburg,Verified email at cs.uni-freiburg.de,Cited by 197752,Computer Vision; Machine Learning; Artificial Intelligence; Robotics,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=0VAe-TQAAAAJ&citpid=4,Thomas Brox,robotics,1,1,2025-07-17T12:26:22.333466
Sergey Levine,https://scholar.google.com/citations?hl=en&user=8R35rCwAAAAJ,"UC Berkeley, Physical Intelligence",Verified email at eecs.berkeley.edu,Cited by 189513,Machine Learning; Robotics; Reinforcement Learning,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=8R35rCwAAAAJ&citpid=5,Sergey Levine,robotics,1,1,2025-07-17T12:26:22.487809
Sebastian Thrun,https://scholar.google.com/citations?hl=en&user=q-buMEoAAAAJ,"Professor of Computer Science, Stanford",Verified email at stanford.edu,Cited by 164109,Machine Learning; Artificial Intelligence; Robotics,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=q-buMEoAAAAJ&citpid=1,Sebastian Thrun,robotics,1,1,2025-07-17T12:26:22.610238
Leonidas Guibas,https://scholar.google.com/citations?hl=en&user=5JlEyTAAAAAJ,"Professor of Computer Science, Stanford University",Verified email at cs.stanford.edu,Cited by 159355,geometric computing; computer vision; computer graphics; machine learning; robotics,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=5JlEyTAAAAAJ&citpid=2,Leonidas Guibas,robotics,1,1,2025-07-17T12:26:22.713255
Peter E. Hart,https://scholar.google.com/citations?hl=en&user=EmP8sFQAAAAJ,Consultant,Verified email at peterhart.net,Cited by 151692,information theory; computer science; robotics; computer vision; pattern classification,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=EmP8sFQAAAAJ&citpid=2,Peter E. Hart,robotics,1,1,2025-07-17T12:26:22.803911
Dragomir Anguelov,https://scholar.google.com/citations?hl=en&user=T04c3fwAAAAJ,"VP and Head of Research, Waymo",Verified email at cs.stanford.edu,Cited by 147784,machine learning; computer vision; robotics; graphics; prediction,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=T04c3fwAAAAJ&citpid=8,Dragomir Anguelov,robotics,1,1,2025-07-17T12:26:22.898048
